data,RPAD5,BMIN4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra
2023-02-24 00:00:00+00:00,7.0,13.399999618530272,4.041439874232873,0.999,1e-06,0.0848579338024026,-0.0103949557966702,4.051990584766382,0.0138077152361056,-0.7528367741455602,0,0.580939531326294
2023-02-27 00:00:00+00:00,7.0,13.65999984741211,3.9840349241016506,0.999,1e-06,0.0850085991796629,-0.010385109117868,3.994487597413792,0.0138301798963748,-0.7509019546875287,0,0.580989420413971
2023-02-28 00:00:00+00:00,7.0,13.65999984741211,3.9840349241016506,0.999,1e-06,0.08501769705597,-0.0103747247504496,3.9944097403219456,0.0138525633285866,-0.748938987273209,0,0.5810426473617554
2023-03-01 00:00:00+00:00,6.409999847412109,13.65999984741211,3.39403477151376,0.999,1e-06,0.0860079121576594,-0.0103698953403305,3.4050890641000717,0.0138748660184239,-0.7473870613641045,0,0.5811118483543396
2023-03-02 00:00:00+00:00,6.409999847412109,13.65999984741211,3.39403477151376,0.999,1e-06,0.0870814280983677,-0.0103595318895531,3.4043950994032395,0.0138970884438848,-0.7454462084906498,0,0.5811461210250854
2023-03-03 00:00:00+00:00,6.949999809265137,13.65999984741211,3.9340347333667873,0.6317862424666713,1e-06,0.088324282579146,-0.0068095855554106,3.940238810985437,0.0088694699503461,-0.7677556374318479,0,0.5812085270881653
2023-03-06 00:00:00+00:00,6.949999809265137,13.65999984741211,3.9340347333667873,0.999,1e-06,0.0878356697655134,-0.0068027700321773,3.9408368233424382,0.008916963116103,-0.7629021162925141,0,0.581205427646637
2023-03-07 00:00:00+00:00,6.949999809265137,13.65999984741211,3.9340347333667873,0.2345569063207657,1e-06,0.0841367517863713,-0.0015948286818399,3.935635732028321,0.002513457876073,-0.6345157788487402,0,0.5812967419624329
2023-03-08 00:00:00+00:00,6.949999809265137,13.989999771118164,3.861174685338666,0.999,1e-06,0.0774545871662205,-0.0015941526679407,3.8628626727539337,0.0027031145969815,-0.5897466092339738,0,0.5812637209892273
2023-03-09 00:00:00+00:00,6.949999809265137,14.890000343322754,3.662465291167493,-0.2293726233157273,1e-06,0.07317208445694,0.0003580544264763,3.662380821150244,0.0015269932636898,0.2344833045374054,0,0.5813374519348145
2023-03-10 00:00:00+00:00,6.949999809265137,15.1899995803833,3.5962290370036856,-0.999,1e-06,0.0714302869747172,-0.0003610538742991,3.59668193529696,0.0018245163175984,-0.1978901864656243,0,0.5813162922859192
2023-03-13 00:00:00+00:00,6.949999809265137,13.609999656677246,3.945074179247394,-0.999,1e-06,0.0706848976811158,0.0003884078740237,3.944194860397907,0.0020793640420194,0.1867916661896911,0,0.5813581943511963
2023-03-14 00:00:00+00:00,6.949999809265137,13.600000381469728,3.947281899975582,-0.999,1e-06,0.0701928286629238,-0.0003876428944116,3.94766460719296,0.0023057068026758,-0.1681232383760817,0,0.5813421607017517
2023-03-15 00:00:00+00:00,6.949999809265137,13.600000381469728,3.947281899975582,-0.999,1e-06,0.0701971540641357,0.0003871501831259,3.946895843252799,0.0025112435964127,0.1541667179077901,0,0.5813605785369873
2023-03-16 00:00:00+00:00,6.949999809265137,13.579999923706056,3.9516977625517913,-0.999,1e-06,0.0700724252066364,-0.0003859080399361,3.9520762892357286,0.0027007088594445,-0.1428913888983645,0,0.5813342332839966
2023-03-17 00:00:00+00:00,6.949999809265137,13.579999923706056,3.9516977625517913,-0.999,1e-06,0.0699441447515413,0.0003853745671078,3.951313476837286,0.002877260771881,0.133938004811411,0,0.5813044905662537
2023-03-20 00:00:00+00:00,6.949999809265137,13.68000030517578,3.9296188707905775,-0.999,1e-06,0.0699388540482694,-0.0003897013052927,3.930038941207543,0.003043131371799,-0.1280593105194778,0,0.5812496542930603
2023-03-21 00:00:00+00:00,6.949999809265137,12.640000343322754,4.1592384607555495,-0.999,1e-06,0.0701874715426963,0.0004460889065359,4.158467455424851,0.0031999686526626,0.1394041489015058,0,0.5812297463417053
2023-03-22 00:00:00+00:00,6.949999809265137,13.600000381469728,3.947281899975582,-0.999,1e-06,0.0701943995307841,-0.0005037706646075,3.948084880759967,0.0033490253048229,-0.1504230690290756,0,0.581169068813324
2023-03-23 00:00:00+00:00,6.949999809265137,12.0,4.300542904795501,0.999,0.7733262775017026,1e-06,0.3523663802353606,3.948130894449089,0.8795096612199127,0.4006395788155588,0,0.5811551809310913
2023-03-24 00:00:00+00:00,6.949999809265137,12.0,4.300542904795501,-0.999,1e-06,0.0653855409459299,-0.3485742714645508,4.648050346678933,0.0145248246868241,-23.99851832846912,1,0.5815204381942749
2023-03-27 00:00:00+00:00,6.949999809265137,12.100000381469728,4.278464013034286,-0.2607102937028002,1e-06,0.0597219659788593,0.0903428421844112,4.1888853578502125,0.0040237558933829,22.45236653967514,0,0.5824199318885803
