data,TAEE3,TAEE11,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_finrl,always_long
2025-01-31 00:00:00+00:00,11.100000381469728,33.5099983215332,-0.3311400298187266,-0.0896817324166287,0.0021978150267839,0.0002165295775721,-0.028021583044151,-0.3016344591618374,0.0527715251638817,-0.5309981653387901,0,0.5146070718765259,1,1
2025-02-03 00:00:00+00:00,11.06999969482422,33.45000076293945,-0.340673973671862,-0.1013762724470198,0.002152855886571,0.0002528229126922,-0.0264991803627581,-0.3128478620826666,0.0525615323625486,-0.5041553998079306,0,0.5147362351417542,1,1
2025-02-04 00:00:00+00:00,11.109999656677246,33.400001525878906,-0.2836179590607219,-0.1062728260706558,0.0021474055150984,0.0002642244760053,0.0210728291599924,-0.3055162627722272,0.0526596803317905,0.4001700927012815,0,0.5148012042045593,0,1
2025-02-05 00:00:00+00:00,11.0,33.060001373291016,-0.2776346351720082,-0.0982555624336437,0.0021704825563938,0.0002528596390927,0.0186644895511308,-0.2972284443298327,0.0529377657389553,0.3525741838665516,0,0.5145190358161926,-1,1
2025-02-06 00:00:00+00:00,11.0,33.18000030517578,-0.3185694220501673,-0.097094868689463,0.0021854379659682,0.0002359313053912,-0.0154046200637842,-0.3025596279038476,0.0530429274699946,-0.2904179840469463,0,0.5142682194709778,-1,1
2025-02-07 00:00:00+00:00,10.989999771118164,32.97999954223633,-0.2603441386061309,-0.1001540367569548,0.0021976206818521,0.0002174580685334,0.0300959822446798,-0.29170361359053,0.053057221894987,0.5672363001637557,0,0.514257550239563,-1,1
2025-02-10 00:00:00+00:00,10.920000076293944,32.88999938964844,-0.2996424179483803,-0.1012253991130653,0.0021924182250365,0.0002220683662663,-0.0064867678614142,-0.2930030291385416,0.0529721537010747,-0.1224561851500228,0,0.5141168832778931,-1,1
2025-02-11 00:00:00+00:00,11.039999961853027,33.22999954223633,-0.2956255129552545,-0.0999386832090103,0.0021947905358179,0.0002221164130855,-0.0016557269191951,-0.2938676226576987,0.052981877755828,-0.0312508161153843,0,0.5139701962471008,-1,1
2025-02-12 00:00:00+00:00,10.93000030517578,32.70000076293945,-0.2248286680683424,-0.0892072321331037,0.0022572320615203,0.0001825453830849,0.0497392437867156,-0.2767143218291958,0.0534430513901987,0.93069618019299,0,0.5139532089233398,-1,1
2025-02-13 00:00:00+00:00,10.81999969482422,32.779998779296875,-0.3621187025742038,-0.1066989575491066,0.0022931304463661,0.0001634958809808,-0.0637763052560724,-0.2958608658825228,0.053601552700291,-1.189821974237812,0,0.5138105750083923,1,1
2025-02-14 00:00:00+00:00,11.039999961853027,33.529998779296875,-0.3979631307973559,-0.0363273533279915,0.0025347952806546,4.385941911875038e-05,-0.0798116378700492,-0.314935786168338,0.0553315654323249,-1.442425083159185,1,0.5140339732170105,1,1
2025-02-17 00:00:00+00:00,10.949999809265137,33.09000015258789,-0.3378681973030595,-0.0584750448350683,0.0024462258884499,0.000134928016235,-0.016661024326207,-0.320345167511454,0.0546098771900314,-0.3050917742999135,1,0.5143270492553711,1,1
2025-02-18 00:00:00+00:00,10.970000267028809,32.86000061035156,-0.239408855817329,-0.0206038367201706,0.0026165665218587,6.835362951083685e-05,0.0648259703443576,-0.3066901443081207,0.0559651198753929,1.158328088793403,0,0.5144991874694824,-1,1
2025-02-19 00:00:00+00:00,10.850000381469728,32.81999969482422,-0.3457633786525527,-0.0359861166966888,0.0026106278189092,6.252090704717038e-05,-0.0319605318908012,-0.3126750181518692,0.0557092375842867,-0.5737025541310934,0,0.5143527984619141,-1,1
2025-02-20 00:00:00+00:00,10.859999656677246,32.65999984741211,-0.2811839538430192,-0.038976178546191,0.0026063578759316,7.338588595605551e-05,0.0257241758676785,-0.3078412920106771,0.0555918252111684,0.462733068575532,0,0.5143919587135315,-1,1
2025-02-21 00:00:00+00:00,10.90999984741211,32.88999938964844,-0.3096426468302145,-0.0341299055549706,0.0026133361228413,7.161901174015722e-05,-0.0016286512683055,-0.3079854268878077,0.0555970537565625,-0.0292938412786548,0,0.5142703056335449,-1,1
