data,PLAS3,INEP4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_finrl
2025-02-19 00:00:00+00:00,7.400000095367432,1.5299999713897705,6.192663658955432,-0.2224375042960391,0.0005289416203188,0.0336284022860621,0.0012942507810089,6.191341675681072,0.0324319916254091,0.0399066081404302,0,0.6287523508071899,1
2025-02-20 00:00:00+00:00,7.400000095367432,1.5,6.216336900280584,-0.3188515995008069,0.0003112085404107,0.0337582008140549,-2.940669023727353e-05,6.216294073041051,0.0258374514354737,-0.0011381420613683,0,0.6270778775215149,1
2025-02-21 00:00:00+00:00,7.400000095367432,1.5099999904632568,6.208445819838867,-0.5640310662026613,0.000216768600274,0.0336817259164939,-0.0001026934697718,6.208571006623997,0.0232134788481481,-0.0044238724597722,0,0.6242852807044983,1
2025-02-24 00:00:00+00:00,6.130000114440918,1.3700000047683716,5.048921059165501,0.0118873689980948,0.0064502384714588,0.0334363061952299,-0.1850522459825066,5.236843882927638,0.1089579096063993,-1.698382858582651,1,0.619626522064209,1
2025-02-25 00:00:00+00:00,6.130000114440918,1.409999966621399,5.01735673739863,0.999,0.363438650428801,1e-06,-0.2194690376575865,5.236835295464082,0.6074775518378767,-0.3612792554944619,1,0.6133365035057068,1
2025-02-26 00:00:00+00:00,6.130000114440918,1.3300000429153442,5.080485380932371,0.999,0.4132138636338645,1e-06,-0.1563661204602787,5.236836286727342,0.6471516351353311,-0.241622074288014,1,0.6080389618873596,1
2025-02-27 00:00:00+00:00,6.130000114440918,1.3899999856948853,5.033138898282065,-0.5581099700550977,1e-06,0.0450978794145869,0.0633833803724793,4.9702523745778615,0.036728538231018,1.7257256461938528,0,0.6021345257759094,1
2025-02-28 00:00:00+00:00,7.079999923706055,1.4600000381469729,5.927901050386079,-0.345757539040481,0.0020278149393416,0.0449760619981603,0.0304396115018887,5.8954874228661645,0.0638359350726289,0.4768413193486746,0,0.5946583151817322,0
2025-03-05 00:00:00+00:00,7.079999923706055,1.4600000381469729,5.927901050386079,0.999,1.075869486675478,1e-06,0.0324132596338736,5.895487604476673,1.0383192048437888,0.0312170472073182,0,0.5917782187461853,-1
2025-03-06 00:00:00+00:00,7.099999904632568,1.3799999952316284,6.011029768915433,0.193891953598202,0.0015871879916515,0.0475209499444004,0.0089985579261341,6.001815290274689,0.0568090157930494,0.1584001729393645,0,0.5893583297729492,-1
2025-03-07 00:00:00+00:00,7.300000190734863,1.399999976158142,6.195247894134293,0.9882828217253904,0.1778607462784715,1e-06,0.1932071847213846,6.001937071478721,0.4239061115070285,0.4557782477693322,0,0.5859844088554382,-1
2025-03-10 00:00:00+00:00,7.300000190734863,1.3600000143051147,6.226812215901163,0.999,1.728775085592051,1e-06,0.2248732500153924,6.001937123108891,1.315527237543331,0.170937737811746,0,0.5830241441726685,-1
2025-03-11 00:00:00+00:00,7.300000190734863,1.399999976158142,6.195247894134293,0.999,1.7570313396172192,1e-06,0.1933126031859812,6.001937074298678,1.3262236488786037,0.1457616921168898,0,0.582001268863678,-1
2025-03-12 00:00:00+00:00,7.0,1.3899999856948853,5.903138783841147,0.9620210409068451,0.0593946318064305,1e-06,-0.0980002329338987,6.001616891963412,0.2474530198238966,-0.3960357121672709,0,0.581853985786438,-1
2025-03-13 00:00:00+00:00,7.0,1.3600000143051147,5.9268120251663,0.999,1.4945970767036438,1e-06,-0.0748064560349325,6.001616936017846,1.2232893474249806,-0.0611518903458121,0,0.5812711715698242,-1
2025-03-14 00:00:00+00:00,6.429999828338623,1.3799999952316284,5.341029692621488,-0.3034083443725086,0.001293622721141,0.0501866606834078,-0.0022422696018759,5.344524657587449,0.051806785570506,-0.0432813882811619,0,0.5818251371383667,-1
2025-03-17 00:00:00+00:00,6.099999904632568,1.3899999856948853,5.003138688473715,-0.999,1e-06,0.0550597192273479,-0.013436489292332,5.017140336625963,0.035538665722792,-0.3780808597919538,0,0.5811589956283569,-1
2025-03-18 00:00:00+00:00,6.0,1.409999966621399,4.887356622957712,-0.0554636674115592,1e-06,0.0546025753593926,0.0005719154727829,4.887016966852606,0.0024048053580348,0.2378219388409522,0,0.5807860493659973,-1
2025-03-19 00:00:00+00:00,6.980000019073486,1.3899999856948853,5.883138802914633,-0.0225853826533353,0.0040772355563704,0.0523355734778831,0.0717244973043449,5.809654889888042,0.0886613813501184,0.8089711237535228,0,0.5819733142852783,-1
2025-03-20 00:00:00+00:00,6.980000019073486,1.399999976158142,5.875247722472916,0.999,0.6496284089136961,1e-06,0.0655946734089911,5.809653981607433,0.8084543117318672,0.0811359064539769,0,0.5826342105865479,-1
2025-03-21 00:00:00+00:00,6.119999885559082,1.399999976158142,5.015247588958512,0.999,6.656309655652216,1e-06,-0.7943928428590087,5.80965335053039,2.580751957203352,-0.3078144881927581,0,0.5826943516731262,-1
